mass_kev,limit,s2_roi_min,s2_roi_max,n_observed,n_expected_signal_mean,n_expected_signal_sigma,n_expected_background_mean,n_expected_background_sigma
2.2754339561767134,1.7670002509727028e-15,1722.183462219944,2323.670709734667,7,14.84744798695644,4.144643895949013,2.9709358691010497,0.5742215458325182
2.3802382193974116,1.6271285035428772e-15,1815.6719551006968,2582.7985013424973,9,15.156687078550881,3.142334482615834,4.037803835907482,0.7502132356538299
2.4898696645099045,1.7840164647364905e-15,1847.9492604081781,2582.7985013424973,8,14.242961335544994,3.2908964833507257,3.8949408467080566,0.7223564978110781
2.6045506267923635,2.067970102676795e-15,1880.800361238019,2628.7130596091165,9,16.052922605175375,3.8312844655766995,4.007817906651132,0.7372014050528518
2.7245136820684808,2.2901239664859374e-15,2165.52875865542,2628.7130596091165,6,12.02074272436371,2.7169253864406486,2.578147890064397,0.45642995662068503
2.8500021183769877,2.7703110327951914e-15,2204.0254885844633,2628.7130596091165,6,12.910820315404031,3.2869301017818224,2.3661105515316048,0.41550286151509874
2.9812704293658094,3.655843112547241e-15,2364.9787382700288,2628.7130596091165,5,12.171707712716621,3.1687001363455445,1.4976564437951279,0.2604948967022171
3.1185848304114594,4.319365884531268e-15,2364.9787382700288,2628.7130596091165,5,13.073799735676639,3.872606282000066,1.4976564437951279,0.2604948967022171
3.262223798510403,3.62014846761547e-15,2493.3612844889362,2870.8233359359156,6,12.573362192062989,2.924067368269167,2.1870964314630257,0.37536016216392437
3.4124786370372804,4.327704824833736e-15,2493.3612844889362,2870.8233359359156,6,13.69419658260644,3.798659090270731,2.1870964314630257,0.37536016216392437
3.569654066515353,4.551744992503263e-15,2771.412387264966,2973.800169193756,3,7.940148554823123,1.712101081373943,1.1946079942604915,0.20274460006761794
3.7340688425972375,5.437055601683803e-15,2771.412387264966,2973.800169193756,3,8.695167402771453,2.3012454187908156,1.1946079942604915,0.20274460006761794
3.9060564025092477,6.718018964943549e-15,2771.412387264966,2973.800169193756,3,9.681185459947221,3.0706393969073,1.1946079942604915,0.20274460006761794
4.085965541270329,8.444366665935427e-15,2771.412387264966,2973.800169193756,3,10.82261148666254,3.9612988579881847,1.1946079942604915,0.20274460006761794
4.274161119056961,1.0754502968461218e-14,2771.412387264966,2973.800169193756,3,12.150368608427966,4.997353245078876,1.1946079942604915,0.20274460006761794
4.471024801148612,1.4158243445472316e-14,2771.412387264966,2973.800169193756,3,13.942843710799359,6.396028999190786,1.1946079942604915,0.20274460006761794
4.6769558319543485,1.9331375276047444e-14,2771.412387264966,2973.800169193756,3,16.452126764970338,8.354032970029566,1.1946079942604915,0.20274460006761794
4.892371844690363,1.59939707218316e-14,2771.412387264966,2973.800169193756,3,20.15815306691814,11.245860658892719,1.1946079942604915,0.20274460006761794
5.117709708350442,2.2953014570969293e-14,2771.412387264966,2973.800169193756,3,25.399443489176104,15.33566130615006,1.1946079942604915,0.20274460006761794
5.3534264136870755,3.0580545032318575e-14,2771.412387264966,2973.800169193756,3,34.43542953163377,22.38647867893193,1.1946079942604915,0.20274460006761794
5.6000000000000005,4.603801797180896e-14,2771.412387264966,2973.800169193756,3,53.288691891329385,37.09775746519274,1.1946079942604915,0.20274460006761794
